ticker,name,sector,subsector,indices,market_cap_musd
AAPL,Apple Inc.,information_technology,Technology Hardware,SP500|NDX,3400000
MSFT,Microsoft Corporation,information_technology,Software,SP500|NDX,3200000
NVDA,NVIDIA Corporation,information_technology,Semiconductors,SP500|NDX,3300000
AVGO,Broadcom Inc.,information_technology,Semiconductors,SP500|NDX,780000
ORCL,Oracle Corporation,information_technology,Software,SP500,480000
CRM,Salesforce Inc.,information_technology,Software,SP500,260000
AMD,Advanced Micro Devices Inc.,information_technology,Semiconductors,SP500|NDX,250000
ADBE,Adobe Inc.,information_technology,Software,SP500|NDX,200000
ACN,Accenture plc,information_technology,IT Services,SP500,210000
CSCO,Cisco Systems Inc.,information_technology,Communications Equipment,SP500|NDX,235000
QCOM,QUALCOMM Incorporated,information_technology,Semiconductors,SP500|NDX,185000
TXN,Texas Instruments Incorporated,information_technology,Semiconductors,SP500|NDX,180000
INTU,Intuit Inc.,information_technology,Software,SP500|NDX,175000
IBM,International Business Machines,information_technology,IT Services,SP500,200000
AMAT,Applied Materials Inc.,information_technology,Semiconductor Equipment,SP500|NDX,150000
NOW,ServiceNow Inc.,information_technology,Software,SP500,190000
MU,Micron Technology Inc.,information_technology,Semiconductors,SP500|NDX,115000
LRCX,Lam Research Corporation,information_technology,Semiconductor Equipment,SP500|NDX,100000
ADI,Analog Devices Inc.,information_technology,Semiconductors,SP500|NDX,110000
KLAC,KLA Corporation,information_technology,Semiconductor Equipment,SP500|NDX,95000
PANW,Palo Alto Networks Inc.,information_technology,Software,SP500|NDX,115000
SNPS,Synopsys Inc.,information_technology,Software,SP500|NDX,80000
CDNS,Cadence Design Systems Inc.,information_technology,Software,SP500|NDX,75000
CRWD,CrowdStrike Holdings Inc.,information_technology,Software,SP500|NDX,80000
INTC,Intel Corporation,information_technology,Semiconductors,SP500|NDX,95000
ANET,Arista Networks Inc.,information_technology,Communications Equipment,SP500,120000
ADSK,Autodesk Inc.,information_technology,Software,SP500|NDX,60000
ROP,Roper Technologies Inc.,information_technology,Software,SP500,55000
FTNT,Fortinet Inc.,information_technology,Software,SP500|NDX,65000
NXPI,NXP Semiconductors N.V.,information_technology,Semiconductors,SP500|NDX,55000
MSI,Motorola Solutions Inc.,information_technology,Communications Equipment,SP500,75000
APH,Amphenol Corporation,information_technology,Electronic Components,SP500,75000
TEL,TE Connectivity plc,information_technology,Electronic Components,SP500,45000
MCHP,Microchip Technology Incorporated,information_technology,Semiconductors,SP500|NDX,35000
